444.341888
0.035, 0.453, 79.05
0.499, 0.134, 76.07
0.720, 0.383, 78.98
1.242, 0.174, 74.14
1.457, 0.464, 78.99
1.927, 0.134, 76.12
2.067, 0.319, 78.88
2.392, 0.244, 80.99
2.752, 0.139, 81.13
3.082, 0.122, 81.10
3.210, 0.168, 79.16
3.396, 0.157, 81.13
3.558, 0.319, 78.38
3.884, 0.186, 79.06
4.075, 0.104, 77.74
4.255, 0.116, 74.17
4.377, 0.151, 76.09
4.545, 0.325, 79.00
4.876, 0.134, 80.95
5.016, 0.476, 78.98
5.532, 0.139, 74.04
5.695, 0.110, 71.06
5.822, 0.180, 67.19
6.008, 0.116, 70.29
6.142, 0.139, 74.05
6.298, 0.163, 78.98
6.519, 0.337, 73.61
6.861, 0.134, 71.30
7.105, 0.186, 67.09
7.419, 0.151, 74.03
7.593, 0.104, 71.14
7.767, 0.192, 71.27
7.964, 0.116, 69.14
8.086, 0.209, 67.17
8.301, 0.163, 69.07
8.603, 0.174, 62.07
8.800, 0.145, 67.01
8.963, 0.116, 71.26
9.091, 0.163, 74.14
9.276, 0.116, 79.18
9.427, 0.145, 74.11
9.578, 0.337, 72.07
9.921, 0.110, 69.18
10.037, 0.209, 67.05
11.297, 0.221, 66.13
11.535, 0.122, 62.00
11.691, 0.180, 67.08
11.877, 0.128, 71.24
