440.508636
0.128, 0.122, 63.99
0.279, 0.435, 68.92
0.760, 0.134, 68.96
0.987, 0.163, 64.00
1.161, 0.215, 61.90
1.486, 0.418, 44.95
1.939, 0.157, 50.04
2.119, 0.412, 44.96
2.827, 0.186, 45.02
3.106, 0.163, 61.91
3.379, 0.157, 63.97
3.570, 0.255, 61.02
3.849, 0.401, 56.95
4.301, 0.174, 50.02
4.644, 0.238, 61.93
4.905, 0.157, 65.94
5.207, 0.116, 67.05
5.364, 0.104, 63.99
5.480, 0.168, 61.99
5.799, 0.319, 74.19
6.223, 0.128, 68.97
6.415, 0.203, 56.97
6.653, 0.261, 49.99
6.949, 0.157, 44.98
7.117, 0.104, 44.95
7.401, 0.134, 56.94
7.581, 0.104, 64.01
7.721, 0.279, 61.88
8.133, 0.134, 64.00
8.290, 0.104, 61.93
8.417, 0.116, 60.94
8.580, 0.424, 56.95
9.050, 0.209, 50.00
9.491, 0.366, 50.00
9.950, 0.110, 67.03
10.188, 0.290, 61.99
10.484, 0.139, 64.00
10.629, 0.743, 66.81
11.407, 0.430, 64.01
11.842, 0.168, 65.96
