439.238190
0.017, 0.319, 53.96
0.360, 0.116, 49.97
0.517, 0.139, 53.96
0.714, 0.255, 43.01
1.027, 0.163, 44.98
1.207, 0.157, 41.99
1.567, 0.261, 41.95
2.032, 0.128, 53.97
2.223, 0.157, 52.02
2.485, 0.174, 49.93
2.682, 0.157, 53.98
2.908, 0.447, 53.98
3.460, 0.197, 41.95
3.686, 0.470, 42.97
4.191, 0.145, 44.98
4.476, 0.354, 49.96
4.841, 0.104, 52.00
4.963, 0.174, 53.95
5.155, 0.261, 51.99
5.468, 0.174, 49.96
5.660, 0.174, 53.94
5.875, 0.430, 53.95
6.322, 0.110, 49.94
6.473, 0.151, 41.96
6.658, 0.279, 42.96
7.140, 0.168, 53.97
7.372, 0.308, 53.96
7.819, 0.104, 49.98
7.959, 0.180, 53.98
8.156, 0.157, 51.96
8.452, 0.174, 49.95
8.649, 0.157, 53.96
9.004, 0.134, 38.05
9.183, 0.267, 37.98
9.474, 0.139, 41.97
9.642, 0.459, 42.96
10.124, 0.168, 45.02
10.437, 0.383, 49.96
10.948, 0.168, 53.94
11.128, 0.128, 52.02
11.302, 0.110, 51.93
11.447, 0.151, 49.95
11.645, 0.250, 43.08
