435.448914
0.017, 0.110, 77.45
0.267, 0.128, 74.29
0.401, 0.348, 72.09
0.778, 0.128, 69.24
0.923, 0.116, 72.15
1.068, 0.110, 77.50
1.312, 0.104, 69.18
1.463, 0.348, 67.04
1.840, 0.418, 67.12
2.380, 0.145, 74.17
2.531, 0.615, 72.21
3.181, 0.139, 74.29
3.326, 0.342, 76.26
3.698, 0.122, 77.37
4.098, 0.279, 79.02
4.505, 0.110, 74.33
4.638, 0.348, 72.09
5.021, 0.128, 69.21
5.166, 0.110, 72.15
5.521, 0.110, 69.21
5.683, 0.348, 66.93
6.055, 0.325, 67.08
6.496, 0.116, 81.16
6.618, 0.128, 83.04
7.140, 0.139, 78.15
7.541, 0.273, 78.29
7.935, 0.493, 79.00
8.440, 0.412, 79.04
8.870, 0.244, 81.19
9.224, 0.145, 78.20
9.497, 0.226, 72.29
9.747, 0.134, 69.23
9.921, 0.250, 67.13
10.286, 0.337, 55.10
11.070, 0.139, 81.05
11.221, 0.261, 79.12
11.610, 0.401, 78.29
