438.224518
0.087, 0.348, 71.03
0.563, 0.360, 66.08
0.940, 0.139, 64.10
1.109, 0.134, 66.05
1.265, 0.163, 62.05
1.451, 0.110, 65.97
1.591, 0.163, 69.07
1.788, 0.128, 73.99
1.927, 0.134, 70.83
2.067, 0.192, 69.06
2.276, 0.163, 71.02
2.473, 0.116, 64.11
2.606, 0.151, 64.06
2.781, 0.145, 59.02
3.001, 0.244, 64.04
3.280, 0.151, 71.03
3.442, 0.145, 74.07
3.640, 0.116, 78.02
3.762, 0.163, 76.13
3.942, 0.145, 74.07
4.098, 0.331, 71.06
4.435, 0.122, 69.14
4.754, 0.168, 62.04
5.085, 0.337, 66.08
5.439, 0.122, 64.07
5.573, 0.180, 62.04
5.869, 0.192, 64.03
6.113, 0.116, 74.13
6.339, 0.261, 76.05
6.606, 0.865, 78.78
7.605, 0.192, 66.00
7.808, 0.145, 64.01
7.970, 0.104, 62.00
8.121, 0.319, 71.05
8.446, 0.139, 69.07
8.603, 0.354, 66.06
8.975, 0.284, 65.90
9.276, 0.174, 62.01
9.468, 0.122, 65.99
9.619, 0.163, 69.10
9.810, 0.134, 74.07
9.956, 0.122, 71.02
10.083, 0.174, 69.11
10.304, 0.279, 64.03
10.594, 0.192, 66.10
10.844, 0.319, 66.98
11.279, 0.163, 66.02
11.558, 0.226, 66.01
11.796, 0.145, 64.04
