440.763123
0.029, 0.238, 69.00
0.319, 0.160, 67.00
0.633, 0.180, 62.00
0.819, 0.325, 67.00
1.149, 0.145, 69.00
1.312, 0.148, 71.00
1.483, 0.125, 67.00
1.614, 0.163, 66.00
1.782, 0.366, 67.00
2.154, 0.119, 64.00
2.583, 0.340, 71.00
2.963, 0.122, 69.00
3.091, 0.174, 67.00
3.294, 0.160, 71.00
3.460, 0.255, 71.00
3.767, 0.517, 69.00
4.296, 0.131, 67.00
4.577, 0.192, 62.00
4.775, 0.293, 67.00
5.074, 0.154, 69.00
5.233, 0.493, 71.00
5.735, 0.163, 69.00
5.907, 0.131, 67.00
6.043, 0.163, 64.00
6.304, 0.226, 62.00
6.536, 0.311, 71.00
6.879, 0.142, 69.00
7.027, 0.177, 67.00
7.221, 0.165, 71.00
7.393, 0.284, 71.00
7.906, 0.099, 71.00
8.011, 0.212, 69.00
8.229, 0.116, 67.00
8.516, 0.107, 74.00
8.716, 0.287, 67.00
9.009, 0.148, 69.00
9.337, 0.122, 67.00
9.465, 0.171, 66.00
9.642, 0.319, 67.00
9.967, 0.189, 74.00
10.165, 0.636, 76.00
10.812, 0.136, 74.00
10.954, 0.238, 71.00
11.331, 0.409, 76.00
11.764, 0.163, 74.00
