445.369720
0.328, 0.244, 81.00
0.624, 0.290, 81.00
0.920, 0.183, 86.00
1.234, 0.186, 81.00
1.425, 0.160, 86.00
1.591, 0.163, 88.00
1.759, 0.194, 86.00
1.959, 0.151, 81.00
2.159, 0.308, 81.00
2.473, 0.163, 86.00
2.760, 0.194, 81.00
2.961, 0.313, 79.00
3.280, 0.186, 79.00
3.471, 0.168, 81.00
3.646, 0.136, 81.00
3.788, 0.174, 81.00
3.968, 0.168, 86.00
4.255, 0.177, 81.00
4.438, 0.093, 86.00
4.537, 0.093, 87.00
4.635, 0.134, 88.00
4.775, 0.160, 86.00
5.123, 0.165, 93.00
5.294, 0.154, 91.00
5.454, 0.122, 88.00
5.613, 0.110, 91.00
5.730, 0.200, 88.00
5.936, 0.125, 86.00
6.243, 0.206, 79.00
6.455, 0.163, 81.00
6.623, 0.122, 81.00
6.751, 0.180, 81.00
6.937, 0.119, 86.00
7.245, 0.163, 81.00
7.755, 0.151, 86.00
7.950, 0.099, 79.00
8.054, 0.226, 81.00
8.287, 0.163, 81.00
8.455, 0.110, 86.00
8.745, 0.165, 81.00
8.945, 0.154, 79.00
9.137, 0.273, 79.00
9.427, 0.151, 81.00
9.584, 0.125, 81.00
9.715, 0.206, 81.00
9.927, 0.110, 86.00
10.225, 0.160, 81.00
10.722, 0.145, 86.00
10.951, 0.099, 91.00
11.056, 0.183, 93.00
11.244, 0.125, 91.00
11.375, 0.151, 88.00
11.564, 0.099, 91.00
11.668, 0.197, 88.00
11.871, 0.119, 86.00
