444.085327
0.096, 0.174, 64.00
0.316, 0.221, 59.00
0.543, 0.206, 64.00
0.787, 0.128, 71.00
1.126, 0.151, 67.00
1.283, 0.186, 67.00
1.474, 0.104, 66.00
1.617, 0.377, 64.00
2.017, 0.107, 61.00
2.130, 0.113, 62.00
2.302, 0.223, 66.00
2.531, 0.290, 57.00
3.146, 0.168, 66.00
3.320, 0.168, 67.00
3.495, 0.134, 66.00
3.640, 0.331, 67.00
3.991, 0.145, 67.00
4.142, 0.192, 64.00
4.339, 0.171, 59.00
4.661, 0.099, 67.00
5.161, 0.194, 67.00
5.361, 0.142, 66.00
5.535, 0.131, 64.00
5.817, 0.145, 67.00
5.968, 0.093, 68.00
6.066, 0.093, 69.00
6.165, 0.168, 66.00
6.339, 0.189, 67.00
6.534, 0.470, 64.00
7.010, 0.145, 67.00
7.160, 0.131, 66.00
7.297, 0.215, 67.00
7.517, 0.125, 59.00
7.648, 0.192, 67.00
7.845, 0.139, 64.00
7.991, 0.139, 60.00
8.136, 0.174, 64.00
8.316, 0.148, 57.00
8.469, 0.157, 59.00
8.632, 0.142, 64.00
8.780, 0.128, 71.00
8.989, 0.122, 69.00
9.117, 0.165, 67.00
9.288, 0.174, 67.00
9.468, 0.104, 66.00
9.610, 0.180, 64.00
10.109, 0.398, 66.00
10.797, 0.151, 69.00
11.119, 0.290, 66.00
11.607, 0.160, 64.00
11.773, 0.168, 66.00
