440.763123
0.035, 0.197, 71.00
0.334, 0.128, 66.00
0.607, 0.491, 69.00
1.184, 0.148, 74.00
1.472, 0.160, 78.00
1.646, 0.113, 74.00
1.765, 0.430, 76.00
2.334, 0.273, 74.00
2.630, 0.174, 78.00
2.810, 0.116, 74.00
2.932, 0.157, 76.00
3.100, 0.102, 78.00
3.207, 0.192, 79.00
3.506, 0.134, 81.00
3.646, 0.148, 78.00
3.799, 0.136, 74.00
3.942, 0.154, 78.00
4.243, 0.131, 74.00
4.380, 0.145, 71.00
4.542, 0.104, 73.00
4.653, 0.261, 74.00
4.937, 0.276, 77.00
5.230, 0.180, 76.00
5.416, 0.099, 78.00
5.521, 0.165, 79.00
5.692, 0.107, 76.00
5.808, 0.177, 81.00
5.991, 0.116, 78.00
6.113, 0.131, 74.00
6.266, 0.119, 78.00
6.391, 0.244, 76.00
6.745, 0.110, 71.00
6.861, 0.113, 73.00
6.980, 0.232, 74.00
7.265, 0.131, 78.00
7.558, 0.157, 76.00
7.738, 0.104, 78.00
7.848, 0.145, 79.00
8.153, 0.145, 81.00
8.304, 0.125, 78.00
8.435, 0.131, 74.00
8.580, 0.145, 78.00
8.731, 0.116, 76.00
8.887, 0.113, 74.00
9.027, 0.136, 71.00
9.276, 0.154, 74.00
9.549, 0.171, 78.00
9.726, 0.104, 79.00
9.906, 0.241, 69.00
10.704, 0.136, 74.00
11.044, 0.142, 64.00
11.192, 0.093, 78.00
11.291, 0.136, 74.00
11.453, 0.302, 71.00
11.868, 0.113, 66.00
