441.272583
0.119, 0.305, 79.00
0.488, 0.189, 76.00
0.682, 0.113, 77.00
0.958, 0.194, 74.00
1.158, 0.165, 71.00
1.448, 0.165, 71.00
1.800, 0.096, 76.00
1.901, 0.508, 76.00
2.519, 0.154, 74.00
2.702, 0.418, 79.00
3.126, 0.206, 79.00
3.492, 0.180, 83.00
3.677, 0.113, 81.00
3.944, 0.235, 81.00
4.185, 0.467, 79.00
4.659, 0.197, 79.00
5.021, 0.163, 76.00
5.190, 0.165, 78.00
5.492, 0.209, 74.00
5.834, 0.107, 76.00
5.985, 0.200, 74.00
6.191, 0.322, 71.00
6.534, 0.110, 74.00
6.708, 0.430, 79.00
7.143, 0.189, 79.00
7.387, 0.116, 81.00
7.970, 0.197, 81.00
8.173, 0.374, 79.00
8.554, 0.136, 76.00
8.696, 0.119, 78.00
8.989, 0.186, 74.00
9.183, 0.435, 71.00
10.017, 0.122, 69.00
10.167, 0.174, 76.00
10.353, 0.145, 78.00
10.519, 0.104, 76.00
10.678, 0.328, 74.00
11.018, 0.296, 71.00
11.479, 0.165, 71.00
11.683, 0.316, 74.00
