442.548920
0.000, 0.264, 64.00
0.316, 0.099, 77.00
0.421, 0.299, 69.00
0.726, 0.142, 71.00
0.874, 0.119, 74.00
1.448, 0.154, 76.00
1.628, 0.104, 74.00
1.756, 0.119, 72.00
1.910, 0.096, 67.00
2.011, 0.740, 67.00
2.757, 0.235, 67.00
2.998, 0.168, 72.00
3.254, 0.183, 74.00
3.460, 0.241, 63.00
3.738, 0.186, 67.00
3.930, 0.102, 66.00
4.037, 0.099, 67.00
4.142, 0.354, 69.00
4.502, 0.128, 66.00
4.635, 0.157, 69.00
4.798, 0.177, 62.00
5.082, 0.099, 66.00
5.187, 0.351, 69.00
5.567, 0.232, 68.00
5.869, 0.122, 76.00
5.997, 0.163, 66.00
6.165, 0.456, 62.00
6.626, 0.119, 72.00
6.815, 0.157, 67.00
6.978, 0.226, 67.00
7.213, 0.171, 72.00
7.523, 0.136, 62.00
7.665, 0.113, 72.00
7.802, 0.293, 69.00
8.101, 0.099, 72.00
8.414, 0.311, 62.00
8.731, 0.142, 66.00
8.879, 0.142, 67.00
9.027, 0.311, 69.00
9.346, 0.122, 66.00
9.485, 0.163, 69.00
9.654, 0.293, 62.00
9.953, 0.145, 66.00
10.104, 0.331, 69.00
10.440, 0.110, 71.00
10.556, 0.136, 74.00
10.707, 0.241, 76.00
11.021, 0.345, 62.00
11.445, 0.154, 72.00
11.630, 0.366, 67.00
