438.731049
0.401, 0.148, 78.00
1.280, 0.122, 74.00
1.408, 0.104, 73.00
1.518, 0.116, 74.00
1.791, 0.110, 78.00
2.084, 0.180, 78.00
2.496, 0.102, 78.00
2.630, 0.110, 81.00
2.757, 0.128, 78.00
2.911, 0.215, 76.00
3.515, 0.360, 74.00
4.830, 0.110, 78.00
5.262, 0.415, 69.00
6.217, 0.099, 78.00
6.473, 0.197, 78.00
6.928, 0.116, 78.00
7.213, 0.099, 78.00
7.317, 0.531, 76.00
7.854, 0.099, 78.00
8.496, 0.636, 78.00
9.140, 0.401, 71.00
9.976, 0.119, 76.00
10.252, 0.154, 71.00
10.411, 0.244, 71.00
10.664, 0.421, 78.00
11.343, 0.122, 78.00
11.482, 0.107, 81.00
11.601, 0.139, 78.00
11.746, 0.232, 76.00
