438.984558
0.000, 0.136, 62.00
0.142, 0.134, 69.00
0.357, 0.221, 66.00
0.615, 0.136, 62.00
1.091, 0.171, 62.00
1.277, 0.180, 73.00
2.142, 0.163, 64.00
2.316, 0.119, 79.00
2.516, 0.194, 66.00
3.216, 0.200, 74.00
3.802, 0.430, 69.00
4.360, 0.264, 62.00
4.629, 0.102, 76.00
4.737, 0.435, 78.00
5.178, 0.122, 62.00
5.306, 0.389, 76.00
5.779, 0.099, 74.00
5.883, 0.139, 73.00
6.066, 0.244, 69.00
6.316, 0.134, 71.00
6.455, 0.403, 72.00
7.245, 0.180, 74.00
7.718, 0.134, 67.00
8.043, 0.099, 66.00
8.147, 0.186, 67.00
8.440, 0.174, 72.00
9.506, 0.223, 74.00
9.749, 0.134, 73.00
9.889, 0.122, 69.00
10.156, 0.119, 64.00
10.327, 0.102, 66.00
10.434, 0.229, 67.00
10.728, 0.145, 72.00
11.291, 0.160, 72.00
11.813, 0.180, 74.00
