438.477722
0.888, 0.136, 78.00
1.030, 0.142, 76.00
1.178, 0.180, 74.00
2.188, 0.215, 83.00
2.409, 0.107, 86.00
2.717, 0.183, 86.00
3.228, 0.197, 83.00
4.087, 0.136, 76.00
4.229, 0.134, 74.00
4.420, 0.189, 90.00
4.615, 0.154, 88.00
4.775, 0.186, 86.00
4.966, 0.145, 88.00
5.256, 0.171, 85.00
5.468, 0.099, 82.00
5.573, 0.203, 83.00
5.976, 0.508, 90.00
6.490, 0.496, 88.00
6.992, 0.139, 86.00
7.320, 0.232, 88.00
7.558, 0.160, 90.00
7.724, 0.308, 90.00
8.037, 0.154, 86.00
8.197, 0.145, 88.00
8.348, 0.168, 90.00
8.522, 0.113, 91.00
8.882, 0.168, 91.00
9.056, 0.520, 90.00
9.581, 0.128, 88.00
11.421, 0.270, 81.00
11.697, 0.096, 83.00
11.799, 0.145, 83.00
