439.491974
0.035, 0.447, 74.00
0.914, 0.148, 74.00
1.652, 0.148, 74.00
1.805, 0.459, 76.00
2.560, 0.386, 71.00
2.966, 0.110, 79.00
3.129, 0.461, 71.00
3.727, 0.107, 76.00
3.840, 0.160, 78.00
4.005, 0.142, 79.00
4.307, 0.136, 78.00
4.450, 0.110, 83.00
4.571, 0.134, 78.00
5.024, 0.154, 76.00
5.184, 0.125, 79.00
5.471, 0.128, 76.00
5.605, 0.136, 74.00
6.481, 0.102, 75.00
6.589, 0.316, 76.00
7.076, 0.299, 74.00
7.526, 0.110, 78.00
7.689, 0.406, 76.00
8.104, 0.119, 78.00
8.853, 0.412, 76.00
9.288, 0.104, 78.00
9.445, 0.418, 74.00
9.868, 0.102, 76.00
10.005, 0.119, 78.00
10.153, 0.148, 76.00
10.307, 0.128, 74.00
11.032, 0.148, 74.00
11.186, 0.093, 75.00
11.285, 0.340, 76.00
