443.060425
0.052, 0.157, 72.00
0.531, 0.151, 67.00
0.833, 0.287, 71.00
1.126, 0.203, 72.00
1.335, 0.122, 69.00
1.785, 0.168, 62.00
1.959, 0.151, 64.00
2.154, 0.551, 69.00
2.932, 0.180, 72.00
3.904, 0.151, 76.00
4.197, 0.151, 78.00
4.354, 0.160, 79.00
4.833, 0.110, 71.00
4.949, 0.131, 72.00
5.085, 0.209, 72.00
5.317, 0.136, 78.00
5.460, 0.125, 79.00
5.590, 0.180, 79.00
5.785, 0.145, 76.00
6.095, 0.104, 83.00
6.206, 0.366, 81.00
6.577, 0.189, 71.00
6.772, 0.136, 72.00
7.686, 0.154, 76.00
7.979, 0.194, 78.00
8.626, 0.107, 71.00
8.739, 0.197, 72.00
8.943, 0.145, 69.00
9.094, 0.160, 67.00
9.419, 0.160, 62.00
9.796, 0.499, 69.00
10.524, 0.186, 72.00
11.485, 0.157, 76.00
11.790, 0.194, 78.00
